"var_1";"translate"
"Huyện Yên Thủy";"Yen Thuy"
"Thành phố Thanh Hóa";"Thanh Hoa"
"Thị xã Bỉm Sơn";"Bim Son"
"Thị xã Sầm Sơn";"Sam Son"
"Huyện Mường Lát";"Muong Lat"
"Huyện Quan Hóa";"Quan Hoa"
"Huyện Quan Sơn";"Quan Son"
"Huyện Bá Thước";"Ba Thuoc"
"Huyện Cẩm Thủy";"Cam Thuy"
"Huyện Lang Chánh";"Lang Chanh"
"Huyện Thạch Thành";"Thach Thanh"
"Huyện Ngọc Lặc";"Ngoc Lac"
"Huyện Thường Xuân";"Thuong Xuan"
"Huyện Như Xuân";"Nhu Xuan"
"Huyện Như Thanh";"Nhu Thanh"
"Huyện Vĩnh Lộc";"Vinh Loc"
"Huyện Hà Trung";"Ha Trung"
"Huyện Nga Sơn";"Nga Son"
"Huyện Yên Định";"Yen Dinh"
"Huyện Thọ Xuân";"Tho Xuan"
"Huyện Hậu Lộc";"Hau Loc"
"Huyện Thiệu Hóa";"Thieu Hoa"
"Huyện Hoằng Hóa";"Hoang Hoa"
"Huyện Đông Sơn";"Dong Son"
"Huyện Triệu Sơn";"Trieu Son"
"Huyện Quảng Xương";"Quang Xuong"
"Huyện Nông Cống";"Nong Cong"
"Huyện Tĩnh Gia";"Tinh Gia"
"Thành phố Vinh";"Vinh"
"Thị xã Cửa Lò";"Cua Lo"
"Huyện Quế Phong";"Que Phong"
"Huyện Quỳ Châu";"Quy Chau"
"Huyện Quỳ Hợp";"Quy Hop"
"Huyện Nghĩa Đàn";"Nghia Dan"
"Thị xã Thái Hòa";"Thai Hoa"
"Huyện Tương Dương";"Tuong Duong"
"Huyện Quỳnh Lưu";"Quynh Luu"
"Huyện Tân Kỳ";"Tan Ky"
"Huyện Con Cuông";"Con Cuong"
"Huyện Yên Thành";"Yen Thanh"
"Huyện Diễn Châu";"Dien Chau"
"Huyện Anh Sơn";"Anh Son"
"Huyện Đô Lương";"Do Luong"
"Huyện Thanh Chương";"Thanh Chuong"
"Huyện Nghi Lộc";"Nghi Loc"
"Huyện Nam Đàn";"Nam Dan"
"Huyện Hưng Nguyên";"Hung Nguyen"
"Thị xã Hoàng Mai";"Hoang Mai"
"Thành phố Hà Tĩnh";"Ha Tinh"
"Thị xã Hồng Lĩnh";"Hong Linh"
"Huyện Nghi Xuân";"Nghi Xuan"
"Huyện Đức Thọ";"Duc Tho"
"Huyện Hương Sơn";"Huong Son"
"Huyện Vũ Quang";"Vu Quang"
"Huyện Can Lộc";"Can Loc"
"Huyện Lộc Hà";"Loc Ha"
"Huyện Thạch Hà";"Thach Ha"
"Huyện Cẩm Xuyên";"Cam Xuyen"
"Huyện Hương Khê";"Huong Khe"
"Huyện Kỳ Anh";"Ky Anh"
"Thành phố Đồng Hới";"Dong Hoi"
"Huyện Tuyên Hóa";"Tuyen Hoa"
"Huyện Minh Hóa";"Minh Hoa"
"Thị xã Ba Đồn";"Ba Don"
"Huyện Quảng Trạch";"Quang Trach"
"Huyện Bố Trạch";"Bo Trach"
"Huyện Quảng Ninh";"Quang Ninh"
"Huyện Lệ Thủy";"Le Thuy"
"Thành phố Đông Hà";"Dong Ha"
"Thị xã Quảng Trị";"Quang Tri"
"Huyện Vĩnh Linh";"Vinh Linh"
"Huyện Gio Linh";"Gio Linh"
"Huyện Cam Lộ";"Cam Lo"
"Huyện Triệu Phong";"Trieu Phong"
"Huyện Hải Lăng";"Hai Lang"
"Huyện Hướng Hóa";"Huong Hoa"
"Huyện Đa Krông";"Da Krong"
"Thành phố Huế";"Hue"
"Huyện Phong Điền";"Phong Dien"
"Huyện Quảng Điền";"Quang Dien"
"Thị xã Hương Trà";"Huong Tra"
"Huyện Phú Vang";"Phu Vang"
"Thị xã Hương Thủy";"Huong Thuy"
"Huyện Phú Lộc";"Phu Loc"
"Huyện A Lưới";"A Luoi"
"Huyện Nam Đông";"Nam Dong"
"Quận Hải Châu";"Hai Chau"
"Quận Thanh Khê";"Thanh Khe"
"Quận Sơn Trà";"Son Tra"
"Quận Ngũ Hành Sơn";"Ngu Hanh Son"
"Quận Liên Chiểu";"Lien Chieu"
"Huyện Hòa Vang";"Hoa Vang"
"Quận Cẩm Lệ";"Cam Le"
"Thành phố Tam Kỳ";"Tam Ky"
"Thành phố Hội An";"Hoi An"
"Huyện Tây Giang";"Tay Giang"
"Huyện Đông Giang";"Dong Giang"
"Huyện Đại Lộc";"Dai Loc"
"Huyện Điện Bàn";"Dien Ban"
"Huyện Duy Xuyên";"Duy Xuyen"
"Huyện Nam Giang";"Nam Giang"
"Huyện Thăng Bình";"Thang Binh"
"Huyện Quế Sơn";"Que Son"
"Huyện Nông Sơn";"Nong Son"
"Huyện Hiệp Đức";"Hiep Duc"
"Huyện Tiên Phước";"Tien Phuoc"
"Huyện Phước Sơn";"Phuoc Son"
"Huyện Núi Thành";"Nui Thanh"
"Huyện Bắc Trà My";"Bac Tra My"
"Huyện Nam Trà My";"Nam Tra My"
"Huyện Phú Ninh";"Phu Ninh"
"Thành phố Quảng Ngãi";"Quang Ngai"
"Huyện Lý Sơn";"Ly Son"
"Huyện Bình Sơn";"Binh Son"
"Huyện Trà Bồng";"Tra Bong"
"Huyện Tây Trà";"Tay Tra"
"Huyện Sơn Tịnh";"Son Tinh"
"Huyện Sơn Tây";"Son Tay"
"Huyện Sơn Hà";"Son Ha"
"Huyện Tư Nghĩa";"Tu Nghia"
"Huyện Nghĩa Hành";"Nghia Hanh"
"Huyện Minh Long";"Minh Long"
"Huyện Mộ Đức";"Mo Duc"
"Huyện Đức Phổ";"Duc Pho"
"Huyện Ba Tơ";"Ba To"
"Thành phố Quy Nhơn";"Quy Nhon"
"Huyện Hoài Nhơn";"Hoai Nhon"
"Huyện Hoài Ân";"Hoai An"
"Huyện Phù Mỹ";"Phu My"
"Huyện Vĩnh Thạnh";"Vinh Thanh"
"Huyện Phù Cát";"Phu Cat"
"Huyện Tây Sơn";"Tay Son"
"Thị xã An Nhơn";"An Nhon"
"Huyện Tuy Phước";"Tuy Phuoc"
"Huyện Vân Canh";"Van Canh"
"Thành phố Tuy Hòa";"Tuy Hoa"
"Huyện Đồng Xuân";"Dong Xuan"
"Thị xã Sông Cầu";"Song Cau"
"Huyện Tuy An";"Tuy An"
"Huyện Sơn Hòa";"Son Hoa"
"Huyện Phú Hòa";"Phu Hoa"
"Huyện Tây Hòa";"Tay Hoa"
"Huyện Đông Hòa";"Dong Hoa"
"Huyện Sông Hinh";"Song Hinh"
"Thành phố Nha Trang";"Nha Trang"
"Thành phố Cam Ranh";"Cam Ranh"
"Huyện Vạn Ninh";"Van Ninh"
"Thị xã Ninh Hòa";"Ninh Hoa"
"Huyện Diên Khánh";"Dien Khanh"
"Huyện Cam Lâm";"Cam Lam"
"Huyện Khánh Vĩnh";"Khanh Vinh"
"Huyện Khánh Sơn";"Khanh Son"
"Thành phố Kon Tum";"Kon Tum"
"Huyện Đắk Glei";"Dak Glei"
"Huyện Ngọc Hồi";"Ngoc Hoi"
"Huyện Đắk Tô";"Dak To"
"Huyện Kon Rẫy";"Kon Ray"
"Huyện Kon Plông";"Kon Plong"
"Huyện Đắk Hà";"Dak Ha"
"Huyện Sa Thầy";"Sa Thay"
"Huyện Tu Mơ Rông";"Tu Mo Rong"
"Thành phố Pleiku";"Pleiku"
"Huyện KBang";"KBang"
"Huyện Đắk Đoa";"Dak Doa"
"Huyện Mang Yang";"Mang Yang"
"Huyện Chư Păh";"Chu Pah"
"Huyện Ia Grai";"Ia Grai"
"Thị xã An Khê";"An Khe"
"Huyện Đắk Pơ";"Dak Po"
"Huyện Kông Chro";"Kong Chro"
"Huyện Đức Cơ";"Duc Co"
"Huyện Chư Prông";"Chu Prong"
"Huyện Chư Sê";"Chu Se"
"Thị xã Ayun Pa";"Ayun Pa"
"Huyện Ia Pa";"Ia Pa"
"Huyện Krông Pa";"Krong Pa"
"Huyện Phú Thiện";"Phu Thien"
"Huyện Chư Pưh";"Chu Puh"
"Thành phố Buôn Ma Thuột";"Buon Ma Thuot"
"Thị xã Buôn Hồ";"Buon Ho"
"Huyện Ea H'leo";"Ea H'leo"
"Huyện Ea Súp";"Ea Sup"
"Huyện Krông Năng";"Krong Nang"
"Huyện Krông Búk";"Krong Buk"
"Huyện Buôn Đôn";"Buon Don"
"Huyện Cư M'gar";"Cu M'gar"
"Huyện Ea Kar";"Ea Kar"
"Huyện M'Đrắk";"M'Drak"
"Huyện Krông Pắc";"Krong Pac"
"Huyện Krông A Na";"Krong A Na"
"Huyện Cư Kuin";"Cu Kuin"
"Huyện Krông Bông";"Krong Bong"
"Huyện Lắk";"Lak"
"Thị xã Gia Nghĩa";"Gia Nghia"
"Huyện Cư Jút";"Cu Jut"
"Huyện Đắk Mil";"Dak Mil"
"Huyện Krông Nô";"Krong No"
"Huyện Đắk Song";"Dak Song"
"Huyện Đắk R'Lấp";"Dak R'Lap"
"Huyện Tuy Đức";"Tuy Duc"
"Huyện Đắk Glong";"Dak Glong"
"Thành phố Đà Lạt";"Da Lat"
"Thành phố Bảo Lộc";"Bao Loc"
"Huyện Lạc Dương";"Lac Duong"
"Huyện Đơn Dương";"Don Duong"
"Huyện Đức Trọng";"Duc Trong"
"Huyện Lâm Hà";"Lam Ha"
"Huyện Di Linh";"Di Linh"
"Huyện Đạ Huoai";"Da Huoai"
"Huyện Đạ Tẻh";"Da Teh"
"Huyện Cát Tiên";"Cat Tien"
"Huyện Đam Rông";"Dam Rong"
"Quận 1";"Quan 1"
"Quận 2";"Quan 2"
"Quận 3";"Quan 3"
"Quận 4";"Quan 4"
"Quận 5";"Quan 5"
"Quận 6";"Quan 6"
"Quận 7";"Quan 7"
"Quận 8";"Quan 8"
"Quận 9";"Quan 9"
"Quận 10";"Quan 10"
"Quận 11";"Quan 11"
"Quận 12";"Quan 12"
"Quận Gò Vấp";"Go Vap"
"Quận Tân Bình";"Tan Binh"
"Quận Tân Phú";"Tan Phu"
"Quận Bình Thạnh";"Binh Thanh"
"Quận Phú Nhuận";"Phu Nhuan"
"Quận Thủ Đức";"Thu Duc"
"Huyện Củ Chi";"Cu Chi"
"Huyện Hóc Môn";"Hoc Mon"
"Huyện Bình Chánh";"Binh Chanh"
"Quận Bình Tân";"Binh Tan"
"Huyện Nhà Bè";"Nha Be"
"Huyện Cần Giờ";"Can Gio"
"Thành phố Phan Rang-Tháp Chàm";"Phan Rang-Thap Cham"
"Huyện Ninh Sơn";"Ninh Son"
"Huyện Bác Ái";"Bac Ai"
"Huyện Ninh Hải";"Ninh Hai"
"Huyện Thuận Bắc";"Thuan Bac"
"Huyện Ninh Phước";"Ninh Phuoc"
"Huyện Thuận Nam";"Thuan Nam"
"Thị xã Đồng Xoài";"Dong Xoai"
"Huyện Đồng Phú";"Dong Phu"
"Thị xã Phước Long";"Phuoc Long"
"Huyện Lộc Ninh";"Loc Ninh"
"Huyện Bù Đốp";"Bu Dop"
"Huyện Bù Đăng";"Bu Dang"
"Huyện Chơn Thành";"Chon Thanh"
"Thị xã Bình Long";"Binh Long"
"Huyện Hớn Quản";"Hon Quan"
"Huyện Bù Gia Mập";"Bu Gia Map"
"Thành phố Tây Ninh";"Tay Ninh"
"Huyện Tân Biên";"Tan Bien"
"Huyện Tân Châu";"Tan Chau"
"Huyện Dương Minh Châu";"Duong Minh Chau"
"Huyện Châu Thành";"Chau Thanh"
"Huyện Hòa Thành";"Hoa Thanh"
"Huyện Bến Cầu";"Ben Cau"
"Huyện Gò Dầu";"Go Dau"
"Huyện Trảng Bàng";"Trang Bang"
"Thành phố Thủ Dầu Một";"Thu Dau Mot"
"Huyện Dầu Tiếng";"Dau Tieng"
"Thị xã Bến Cát";"Ben Cat"
"Huyện Phú Giáo";"Phu Giao"
"Thị xã Tân Uyên";"Tan Uyen"
"Thị xã Thuận An";"Thuan An"
"Thị xã Dĩ An";"Di An"
"Huyện Bắc Tân Uyên";"Bac Tan Uyen"
"Huyện Bàu Bàng";"Bau Bang"
"Thành phố Biên Hòa";"Bien Hoa"
"Huyện Tân Phú";"Tan Phu"
"Huyện Định Quán";"Dinh Quan"
"Huyện Vĩnh Cửu";"Vinh Cuu"
"Huyện Thống Nhất";"Thong Nhat"
"Huyện Trảng Bom";"Trang Bom"
"Thị xã Long Khánh";"Long Khanh"
"Huyện Cẩm Mỹ";"Cam My"
"Huyện Xuân Lộc";"Xuan Loc"
"Huyện Long Thành";"Long Thanh"
"Huyện Nhơn Trạch";"Nhon Trach"
"Thành phố Phan Thiết";"Phan Thiet"
"Thị xã La Gi";"La Gi"
"Huyện Tuy Phong";"Tuy Phong"
"Huyện Bắc Bình";"Bac Binh"
"Huyện Hàm Thuận Bắc";"Ham Thuan Bac"
"Huyện Hàm Thuận Nam";"Ham Thuan Nam"
"Huyện Tánh Linh";"Tanh Linh"
"Huyện Hàm Tân";"Ham Tan"
"Huyện Đức Linh";"Duc Linh"
"Huyện Phú Quý";"Phu Quy"
"Thành phố Vũng Tàu";"Vung Tau"
"Thành phố Bà Rịa";"Ba Ria"
"Huyện Châu Đức";"Chau Duc"
"Huyện Xuyên Mộc";"Xuyen Moc"
"Huyện Tân Thành";"Tan Thanh"
"Huyện Đất Đỏ";"Dat Do"
"Huyện Long Điền";"Long Dien"
"Thành phố Tân An";"Tan An"
"Huyện Tân Hưng";"Tan Hung"
"Huyện Vĩnh Hưng";"Vinh Hung"
"Huyện Mộc Hóa";"Moc Hoa"
"Huyện Tân Thạnh";"Tan Thanh"
"Huyện Thạnh Hóa";"Thanh Hoa"
"Huyện Đức Huệ";"Duc Hue"
"Huyện Đức Hòa";"Duc Hoa"
"Huyện Bến Lức";"Ben Luc"
"Huyện Thủ Thừa";"Thu Thua"
"Huyện Tân Trụ";"Tan Tru"
"Huyện Cần Đước";"Can Duoc"
"Huyện Cần Giuộc";"Can Giuoc"
"Thị xã Kiến Tường";"Kien Tuong"
"Thành phố Cao Lãnh";"Cao Lanh"
"Thành phố Sa Đéc";"Sa Dec"
"Huyện Tân Hồng";"Tan Hong"
"Huyện Hồng Ngự";"Hong Ngu"
"Thị xã Hồng Ngự";"Hong Ngu"
"Huyện Thanh Bình";"Thanh Binh"
"Huyện Tháp Mười";"Thap Muoi"
"Huyện Cao Lãnh";"Cao Lanh"
"Huyện Lấp Vò";"Lap Vo"
"Huyện Lai Vung";"Lai Vung"
"Thành phố Long Xuyên";"Long Xuyen"
"Thành phố Châu Đốc";"Chau Doc"
"Huyện An Phú";"An Phu"
"Thị xã Tân Châu";"Tan Chau"
"Huyện Phú Tân";"Phu Tan"
"Huyện Châu Phú";"Chau Phu"
"Huyện Tịnh Biên";"Tinh Bien"
"Huyện Tri Tôn";"Tri Ton"
"Huyện Thoại Sơn";"Thoai Son"
"Thành phố Mỹ Tho";"My Tho"
"Thị xã Gò Công";"Go Cong"
"Huyện Tân Phước";"Tan Phuoc"
"Thị xã Cai Lậy";"Cai Lay"
"Huyện Chợ Gạo";"Cho Gao"
"Huyện Cái Bè";"Cai Be"
"Huyện Gò Công Tây";"Go Cong Tay"
"Huyện Gò Công Đông";"Go Cong Dong"
"Huyện Tân Phú Đông";"Tan Phu Dong"
"Huyện Cai Lậy";"Cai Lay"
"Thành phố Vĩnh Long";"Vinh Long"
"Huyện Long Hồ";"Long Ho"
"Huyện Mang Thít";"Mang Thit"
"Thị xã Bình Minh";"Binh Minh"
"Huyện Bình Tân";"Binh Tan"
"Huyện Tam Bình";"Tam Binh"
"Huyện Trà Ôn";"Tra On"
"Huyện Vũng Liêm";"Vung Liem"
"Thành phố Bến Tre";"Ben Tre"
"Huyện Mỏ Cày Nam";"Mo Cay Nam"
"Huyện Chợ Lách";"Cho Lach"
"Huyện Mỏ Cày Bắc";"Mo Cay Bac"
"Huyện Giồng Trôm";"Giong Trom"
"Huyện Bình Đại";"Binh Dai"
"Huyện Ba Tri";"Ba Tri"
